,title,video_id,Published At,Keyword,Likes,Comments,Views
1463,The physics anomaly no one talks about: What&#39;s up with those neutrinos?,p118YbxFtGg,18-09-2021,physics,35004.0,2726.0,952869.0
1464,"8 Year Old LOST His GIRLFRIEND To A Rich Kid, So We Confronted Her... (Fortnite)",c0Ir6O1JB-I,19-11-2019,physics,673896.0,41869.0,14835017.0
1465,The Map of Particle Physics | The Standard Model Explained,mYcLuWHzfmE,01-05-2021,physics,32717.0,1804.0,930267.0
1466,Thermodynamics: Crash Course Physics #23,4i1MUWJoI0U,15-09-2016,physics,20329.0,806.0,1331141.0
1467,7 AMAZING Physics Tricks That You Must See,IzQsYnLz2Gc,26-01-2018,physics,122180.0,1942.0,8705503.0
1468,Physics experiments that changed the world – with Suzie Sheehy,aXg3edeUrtc,11-08-2022,physics,2012.0,143.0,72517.0
1469,How Two Physicists Unlocked the Secrets of Two Dimensions,kpsu9_ql0-M,16-08-2022,physics,12994.0,521.0,234454.0
1470,What Does Quantum Physics Actually Tell Us About the World?,GBs8e2KRLDg,20-07-2022,physics,1346.0,198.0,106305.0
1471,Gifting a 9 Year Old MAX Battle Pass!,Ewp4HvlzNs0,12-06-2022,physics,7355.0,711.0,278584.0
1472,Can Life Really Be Explained By Physics? (featuring Prof. Brian Cox),k-vm3ZWnMWk,08-04-2022,physics,25394.0,2940.0,761574.0
1473,Modern Physics || Modern Physics Full Lecture Course,3lTQqEehEhI,14-09-2020,physics,21123.0,560.0,745050.0
1474,Electric Charge: Crash Course Physics #25,TFlVWf8JX4A,29-09-2016,physics,26210.0,856.0,1875721.0
1475,When a physics teacher knows his stuff !!,77ZF50ve6rs,04-03-2016,physics,1194852.0,16417.0,42252029.0
1476,Amazing Physics Toys/Gadgets 1,Y5dylh2aOiw,26-02-2022,physics,188472.0,5901.0,13829574.0
1477,I Met RICH KID In Real Life...,pJpOxIksxXU,06-08-2021,physics,11961.0,334.0,495065.0
1478,What is the Schrödinger Equation? A basic introduction to Quantum Mechanics,2WPA1L9uJqo,14-04-2022,physics,11420.0,896.0,596902.0
1479,Physicists At CERN Just Made An Incredible Discovery That Changes Everything,iDgJD-MarvU,04-07-2022,physics,10960.0,109.0,858731.0
1480,Asking a Theoretical Physicist About the Physics of Consciousness | Roger Penrose &amp; Jordan Peterson,Qi9ys2j1ncg,14-04-2022,physics,31942.0,7562.0,1089328.0
1481,I Made RICH KID Say **** For The First Time... (Fortnite),jxi-3WvWvGM,28-12-2020,physics,66353.0,2001.0,1546801.0
1482,Kinematics In One Dimension - Physics,dHjWVlfNraM,31-05-2021,physics,7687.0,237.0,451843.0
1483,"Frank Wilczek: Physics of Quarks, Dark Matter, Complexity, Life &amp; Aliens | Lex Fridman Podcast #187",LDTe8uFqbws,29-05-2021,physics,9154.0,1201.0,652244.0
1484,Minecraft Physics Had an Update..,SiHeMrHDlzs,26-02-2022,physics,11249.0,393.0,482269.0
1485,"Static &amp; Kinetic Friction, Tension, Normal Force, Inclined Plane &amp; Pulley System Problems - Physics",pL2YfC-22Uc,29-08-2016,physics,20361.0,770.0,1539948.0
1486,15 Craziest Things That Defy the Laws of Physics,dHsxkaxRfnE,28-07-2022,physics,12193.0,196.0,1267276.0
1487,"Newton&#39;s Law of Motion - First, Second &amp; Third - Physics",g550H4e5FCY,09-01-2017,physics,27575.0,971.0,1761493.0
1488,Leonard Susskind Marrying Quantum Physics &amp; General Relativity,4JXjqaN97IY,18-06-2022,physics,962.0,100.0,30388.0
1489,How Trees Bend the Laws of Physics,BickMFHAZR0,30-10-2012,physics,139552.0,7764.0,4235793.0
1490,"RICH KID Tried To DATE My CRUSH, So I Did This... (Fortnite)",V2dPq92LToE,26-01-2020,physics,159719.0,4673.0,2029047.0
1491,What is Computer Science?,Tzl0ELY_TiM,28-02-2017,computer science,26902.0,1190.0,1248957.0
1492,100+ Computer Science Concepts Explained,-uleG_Vecis,04-05-2022,computer science,55719.0,1606.0,802372.0
1493,Introduction to Programming and Computer Science - Full Course,zOjov-2OZ0E,21-04-2020,computer science,131961.0,3037.0,4849924.0
1494,Map of Computer Science,SzJ46YA_RaA,06-09-2017,computer science,202969.0,3572.0,4801805.0
1495,3 years of Computer Science in 8 minutes,ReVeUvwTGdU,24-07-2018,computer science,186881.0,8575.0,7004107.0
1496,An Entire Computer Science Degree in 12 Minutes,EJiVWoFk8GA,06-08-2022,computer science,10317.0,757.0,165623.0
1497,Computer Scientist Explains One Concept in 5 Levels of Difficulty | WIRED,fOGdb1CTu5c,18-01-2022,computer science,128268.0,4356.0,4991078.0
1498,Early Computing: Crash Course Computer Science #1,O5nskjZ_GoI,22-02-2017,computer science,62009.0,1740.0,3134189.0
1499,Computer Science in 10 Minutes,A45p5e86Lpw,21-09-2020,computer science,24508.0,1455.0,374241.0
1500,Computer Science degree: What you need to know,k0GlqFrRQI0,01-06-2020,computer science,6806.0,774.0,215489.0
1501,Computer Scientist Explains Machine Learning in 5 Levels of Difficulty | WIRED,5q87K1WaoFI,18-08-2021,computer science,42940.0,1735.0,1407319.0
1502,My Computer Science Degree in 8 Minutes,dh7IwmBQZeI,08-11-2021,computer science,13004.0,376.0,318419.0
1503,Computer Science Careers and Subfields,2VpDcjFshJI,21-08-2017,computer science,8864.0,326.0,351985.0
1504,My Regrets as a Computer Science Student,xa6me8wou_k,03-07-2019,computer science,63890.0,2427.0,1732512.0
1505,What Is Computer Science?,AnVBCyzNgaU,15-07-2016,computer science,2143.0,77.0,198844.0
1506,Computer science is for everyone | Hadi Partovi | TEDxRainier,FpMNs7H24X0,08-12-2014,computer science,10846.0,380.0,759857.0
1507,Is a Computer Science Degree Worth It?,c-41IY0bOGU,05-03-2020,computer science,11672.0,1285.0,302924.0
1508,2021&#39;s Biggest Breakthroughs in Math and Computer Science,9uASADiYe_8,23-12-2021,computer science,33558.0,814.0,950825.0
1509,Top 10 BEST Career Paths For Computer Science Majors ($100k+ Jobs),OhuduvuenYQ,16-06-2022,computer science,752.0,53.0,16115.0
1510,Boolean Logic &amp; Logic Gates: Crash Course Computer Science #3,gI-qXk7XojA,08-03-2017,computer science,47204.0,1277.0,2302755.0
1511,"Lec 1 | MIT 6.00 Introduction to Computer Science and Programming, Fall 2008",k6U-i4gXkLM,20-08-2009,computer science,61813.0,3416.0,6091315.0
1512,6 Reasons Why Computer Science is the Best Major,ywBD6HiD8vQ,06-11-2020,computer science,4557.0,379.0,97136.0
1513,Computer Science Degree Vs Computer Engineering Degree (Which Is Better?),sdDklIYkWA0,18-06-2022,computer science,1514.0,251.0,37830.0
1514,5 Things I Wish I Knew Before Majoring in Computer Science,TOSxb5aXKlk,14-07-2020,computer science,2596.0,177.0,56994.0
